label,x0,y0,w,h,name,img_shape_x,img_shape_y
heart,91,71,77,102,ca112a3c-b701-48b8-a94f-725ea65416a7,224,224
heart,70,64,89,67,e5f292ae-f1e5-497c-b0a0-68f1aa2196b2,224,224
heart,82,55,81,76,67af68f7-7ba0-49a0-a373-3a8801eb0faa,224,224
heart,93,74,78,89,814289a3-9ce8-4cba-842f-45d6a36f540d,224,224
heart,85,61,85,93,e508969f-c931-462b-aa90-ccde34a4d9e5,224,224
heart,63,60,100,85,f1e96436-85c2-4179-b7e9-3f3091e29d76,224,224
heart,102,87,60,61,a20a3112-7585-430c-b648-8d81d301acbf,224,224
heart,85,71,77,77,eb31f994-518b-4e9d-9a52-ccbf541cfa9f,224,224
heart,89,65,71,85,4cf82164-6678-4864-bbc4-5a93419424f7,224,224
heart,84,65,76,72,e20af8e8-56f2-486f-962e-7706d77dc5f5,224,224
heart,84,65,99,102,7f148dfd-80a6-4bef-adc3-d0de8968de74,224,224
heart,75,54,87,73,01ef1712-90a6-4946-ad86-fc76b0cf2d3b,224,224
heart,87,82,89,102,39148a82-bab6-4529-9e66-9b28e8110a8c,224,224
heart,102,61,91,77,d8e5c4af-eb12-45ac-bef7-52067018cc2a,224,224
heart,80,88,84,104,c803f210-4cf1-4914-8399-5950ee8b95d2,224,224
heart,84,49,89,75,799f9a2a-9f6a-4a84-b1e4-e0e6119122bf,224,224
heart,86,67,82,100,79cb22b9-a291-44a2-a1f5-7d51a256e37c,224,224
heart,73,57,95,113,59356ce0-39e8-46c2-942c-bab047e62b4a,224,224
heart,99,43,97,98,e3a261d3-0cfe-4e75-ab0b-1dfd45a9991b,224,224
heart,89,69,103,122,968cdc9c-b3e8-4d54-a2ec-a0932b1ffe35,224,224
heart,84,65,92,122,fe88e494-9645-40b5-bcad-670b8426c9a0,224,224
heart,68,57,100,114,1d5af9ab-1f62-47b2-980f-71e8409d7c3c,224,224
heart,82,68,74,93,52407dba-597d-4eaf-b6b8-b74ec0c1a136,224,224
heart,65,80,85,100,702c610f-8655-4062-a914-5b82fcb71be2,224,224
heart,80,61,78,100,51c1d1a2-5cb8-4841-b51e-8ff988ca6c26,224,224
heart,82,79,70,82,f19c66d2-aaf2-4fe4-bb63-bffc39c182ac,224,224
heart,92,76,82,83,b6fe8b37-db6d-4ab9-b8bc-401a5e2b35a2,224,224
heart,65,76,84,98,623fb25f-9c92-4d52-bb4f-00dcd80075de,224,224
heart,82,46,81,93,f8a1abfb-bce3-495e-b0e4-ded21381efcb,224,224
heart,85,58,98,89,a2fd1e6b-4233-4230-aa6d-1449ccd134f7,224,224
heart,74,58,107,94,d9628d5b-2437-4df9-b66c-d35e30f3a40b,224,224
heart,87,58,76,100,b47667ed-c87d-4fa6-924f-4f8383a26417,224,224
heart,79,66,104,105,0a80033c-8a64-4810-9ecb-6013f7b0dde9,224,224
heart,73,40,59,83,91096cbe-eb13-497b-9aff-3b4af34dd3fb,224,224
heart,83,41,99,113,ba083f79-b065-432d-b2b6-95850c35e9f0,224,224
heart,112,39,63,79,6a93ea2a-5b05-44e1-828d-e22b2817d459,224,224
heart,89,71,88,95,507f376d-5270-4598-bc87-675b6aa8b208,224,224
heart,88,64,77,93,a798670c-5fc9-44d3-95db-e46566590784,224,224
